timestamp,count,flag,complete
2075731679198344,1,0,11294
2075731680000386,1,0,2767
2075731680561642,1,0,2818
2075731680610538,0,0,10912
2075731681145333,1,0,2630
2075731681198503,0,0,3338
2075731681657574,0,0,2675
2075731682375612,1,0,2941
2075731683157035,1,0,2834
2075731683508775,1,0,4710
2075731684203938,0,0,3195
2075731684325303,1,0,1958
2075731684760353,0,0,2734
2075731685343108,1,0,2660
2075731685762509,0,0,9777
2075731686176767,1,0,2746
2075731686573977,0,0,2818
2075731687078158,1,0,3134
2075731687106691,0,0,2062
2075731687613221,0,0,3131
2075731688150590,1,0,2897
2075731688692532,0,0,3828
2075731688743801,1,0,2055
2075731689267040,0,0,2685
2075731689776729,1,0,2744
2075731690278802,0,0,2894
2075731691509751,0,0,2984
2075731692245961,0,0,9011
2075731692673909,0,0,2789
2075731692744687,0,0,3359
2075731692899441,1,0,2362
2075731693088626,1,0,2493
2075731693633898,0,0,2883
2075731694004902,0,0,4235
2075731694518951,0,0,2907
2075731695009216,0,0,2837
2075731695385701,0,0,9720
2075731695866358,0,0,2819
2075731696438703,0,0,2896
2075731696924115,0,0,3039
2075731696987924,1,0,2059
2075731697048304,0,0,3345
2075731697031210,0,0,20837
2075731697892102,1,0,4974
2075731698084394,0,0,5167
2075731698831772,1,0,3222
2075731699259650,1,0,2686
2075731699278924,0,0,1806
2075731700020203,0,0,3457
2075731700645953,0,0,7741
2075731701021033,1,0,2756
2075731701484247,0,0,4242
2075731701577884,1,0,3570
2075731701958592,0,0,6374
2075731702716814,1,0,3643
2075731703132588,0,0,2539
2075731703918117,0,0,3426
2075731704239838,1,0,3924
2075731704340818,0,0,6452
2075731704445891,1,0,3324
2075731704674047,0,0,2030
2075731704925439,1,0,2328
2075731705462213,1,0,2755
2075731705494151,1,0,2035
2075731706253185,0,0,3840
2075731706763292,0,0,2682
2075731707077153,1,0,2713
2075731707659325,1,0,2769
2075731708268083,1,0,2914
2075731708342009,0,0,13820
2075731708697241,1,0,2098
2075731709357155,0,0,2648
2075731709925493,1,0,2941
2075731710523859,0,0,4973
2075731710561132,0,0,3257
2075731711076520,0,0,3768
2075731711712782,0,0,2690
2075731712228831,1,0,3020
2075731712763796,0,0,6495
2075731713196652,0,0,3018
2075731713740560,0,0,2876
2075731714008941,1,0,3306
2075731714391134,0,0,2169
2075731714698519,0,0,2702
2075731715162897,1,0,2803
2075731715171715,1,0,1706
2075731715360565,1,0,5138
2075731716017279,1,0,3457
2075731716591054,1,0,7394
2075731716747680,0,0,5923
2075731716880217,1,0,1963
2075731717572515,1,0,3540
2075731718105631,0,0,2938
2075731719015271,0,0,3680
2075731719438755,1,0,2490
2075731720091397,0,0,3616
2075731720512095,0,0,2750
2075731721329367,1,0,3705
2075731722251446,0,0,4917
2075731723302930,0,0,3252
2075731724236657,0,0,2986
2075731725058218,0,0,2774
2075731725586609,1,0,2743
2075731726078574,1,0,14025
2075731726106556,1,0,1793
2075731726565005,0,0,2680
2075731726582147,1,0,1704
2075731727059679,1,0,3004
2075731727862621,1,0,2778
2075731728271148,0,0,3969
2075731728580793,0,0,2346
2075731729456272,0,0,15652
2075731730554067,0,0,3460
2075731731822333,1,0,2574
2075731732610115,0,0,15404
2075731733139269,1,0,3673
2075731733669686,0,0,3833
2075731734152823,1,0,5066
2075731735264801,0,0,3558
2075731736221089,1,0,3266
2075731736611912,1,0,8286
2075731737356151,0,0,3397
2075731738261843,1,0,3606
2075731739791848,0,0,2758
2075731740238722,1,0,4215
2075731740741317,0,0,11543
2075731741353622,1,0,2945
2075731742067795,1,0,2515
2075731742805347,0,0,13967
2075731744078786,0,0,2941
2075731744531808,0,0,2581
2075731745064476,0,0,2851
2075731745933378,0,0,3135
2075731747009311,1,0,3854
2075731747728832,0,0,2719
2075731748240795,0,0,4042
2075731748899340,0,0,11030
2075731749654107,0,0,5125
2075731750249434,0,0,2628
2075731751297401,1,0,4942
2075731751790577,1,0,3560
2075731752156371,0,0,12570
2075731752747366,1,0,7260
2075731752768049,1,0,3120
2075731753323880,1,0,17764
2075731753703368,0,0,3028
2075731754209949,1,0,2817
2075731754998496,0,0,2957
2075731755926371,0,0,2780
2075731756328674,1,0,8992
2075731756869682,0,0,2678
2075731756878956,0,0,1793
2075731757335088,0,0,3085
2075731757344477,1,0,1690
2075731757712262,0,0,2709
2075731758538198,0,0,2674
2075731758944137,0,0,3245
2075731759749851,1,0,3225
2075731760450606,0,0,3839
2075731760931244,1,0,2785
2075731761751308,1,0,13939
2075731763698943,0,0,3853
2075731764277078,1,0,3096
2075731765053739,1,0,3842
2075731765885970,1,0,2886
2075731767786853,0,0,2699
2075731768510824,1,0,3901
2075731769044579,0,0,2681
2075731769465698,1,0,2854
2075731770359301,0,0,2763
2075731771458425,0,0,4066
2075731772386759,1,0,2850
2075731772837975,0,0,27286
2075731772922166,1,0,3107
2075731773754395,0,0,4028
2075731775045612,1,0,3532
2075731776298304,0,0,3780
2075731776657309,0,0,2981
2075731777233029,0,0,4813
2075731778130308,0,0,2645
2075731780180955,1,0,3092
2075731780722395,0,0,2670
2075731780770342,1,0,2263
2075731781221288,1,0,2815
2075731781299357,1,0,2108
2075731782102049,0,0,3163
2075731782886213,0,0,3179
2075731783284952,0,0,2665
2075731783327981,0,0,1928
2075731783827866,1,0,4957
2075731784449295,0,0,2663
2075731784910499,0,0,2900
2075731785186439,0,0,2725
2075731785819071,1,0,2347
2075731786718141,0,0,2713
2075731787473550,1,0,3512
2075731787801890,1,0,3729
2075731787878923,0,0,2048
2075731788413927,1,0,11563
2075731788471781,0,0,2287
2075731788652443,1,0,1964
2075731789333719,0,0,2639
2075731789865256,1,0,2610
2075731790908736,1,0,3307
2075731791738969,0,0,14633
2075731792270245,0,0,3165
2075731792725773,0,0,5224
2075731792743277,0,0,3056
2075731792792246,1,0,4503
2075731793274786,0,0,3162
2075731793817493,1,0,2565
2075731794229362,0,0,2531
2075731794686929,0,0,3442
2075731795525792,0,0,2878
2075731795893017,1,0,2695
2075731796242637,1,0,2849
2075731796750219,0,0,25651
2075731796802281,1,0,1925
2075731797388325,0,0,4886
2075731797876891,0,0,3401
2075731797961183,0,0,2312
2075731798757754,0,0,3499
2075731799549008,0,0,2588
2075731799904356,1,0,2654
2075731800534407,1,0,2701
2075731800543787,0,0,1692
2075731801034227,1,0,2614
2075731801090046,0,0,4860
2075731801582058,0,0,2590
2075731802102017,0,0,2662
2075731802854086,0,0,3361
2075731803392245,1,0,2923
2075731804058213,0,0,3855
2075731804487768,1,0,3215
2075731804515044,0,0,2044
2075731804585743,1,0,2698
2075731805107832,0,0,4846
2075731805723817,0,0,2557
2075731805794679,0,0,2970
2075731806235307,0,0,2566
2075731806976022,0,0,3410
2075731807733655,1,0,3379
2075731808249458,1,0,2902
2075731808567777,0,0,9064
2075731808583001,1,0,1778
2075731809064083,0,0,3512
2075731809096056,0,0,1727
2075731809627293,0,0,2639
2075731810401779,0,0,3363
2075731810954892,1,0,3388
2075731811899440,0,0,5200
2075731812523829,0,0,2692
2075731812561760,0,0,10797
2075731813105997,1,0,21390
2075731813574393,0,0,3260
2075731813609582,0,0,2098
2075731813696383,0,0,3327
2075731814058838,0,0,2919
2075731814968835,0,0,3654
2075731815528486,0,0,3235
2075731816001641,1,0,2715
2075731816554637,0,0,2735
2075731816948352,1,0,5210
2075731816975445,0,0,3127
